k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,cost_fp,cost_fn,maintenance_threshold
1.55,1048,1921,7282,44,0.040293040293040296,0.20873628164728894,2141.0,0.20796503156872267,FD002,1.0,5,20
1.6,1052,2040,7163,40,0.03663003663003663,0.2216668477670325,2240.0,0.21758135016998542,FD002,1.0,5,20
1.65,1057,2168,7035,35,0.03205128205128205,0.23557535586221884,2343.0,0.22758620689655173,FD002,1.0,5,20
1.7,1061,2292,6911,31,0.028388278388278388,0.24904922307943061,2447.0,0.2376881981544439,FD002,1.0,5,20
1.75,1062,2423,6780,30,0.027472527472527472,0.2632837118330979,2573.0,0.2499271491015056,FD002,1.0,5,20
1.8,1066,2538,6665,26,0.023809523809523808,0.2757796370748669,2668.0,0.2591549295774648,FD002,1.0,5,20
1.85,1067,2690,6513,25,0.022893772893772892,0.29229599043790067,2815.0,0.2734337056823701,FD002,1.0,5,20
1.9,1067,2794,6409,25,0.022893772893772892,0.3035966532652396,2919.0,0.28353569694026226,FD002,1.0,5,20
1.95,1069,2910,6293,23,0.021062271062271064,0.31620123872650224,3025.0,0.29383195726080624,FD002,1.0,5,20
2.0,1071,3035,6168,21,0.019230769230769232,0.32978376616320765,3140.0,0.3050024283632832,FD002,1.0,5,20
0.0,537,152,9051,555,0.5082417582417582,0.016516353363033795,5702.0,0.553861097620204,FD002,1.0,10,20
0.05,557,164,9039,535,0.4899267399267399,0.017820275996957513,5514.0,0.5355998057309374,FD002,1.0,10,20
0.1,580,191,9012,512,0.46886446886446886,0.020754101923285886,5311.0,0.5158814958717824,FD002,1.0,10,20
0.15,601,205,8998,491,0.44963369963369965,0.02227534499619689,5115.0,0.4968431277319087,FD002,1.0,10,20
0.2,615,219,8984,477,0.4368131868131868,0.0237965880691079,4989.0,0.484604176784847,FD002,1.0,10,20
0.25,640,240,8963,452,0.4139194139194139,0.02607845267847441,4760.0,0.462360369111219,FD002,1.0,10,20
0.3,663,261,8942,429,0.39285714285714285,0.02836031728784092,4551.0,0.4420592520641088,FD002,1.0,10,20
0.35,688,280,8923,404,0.36996336996337,0.030424861458220147,4320.0,0.41962117532782905,FD002,1.0,10,20
